index,id,productName,finalPrice,originalPrice,discountValue,discountPercentage,category,url,rating,ratingAverage
"18","347977532","10 GR (GRAM) LOGAM MULIA/LOGAM MULIA ANTAM/LM/EMAS ANTAM BERSERTIFIKAT","Rp22.500.000","null","None","0","Logam Mulia","https://www.tokopedia.com/aurms79/10-gr-gram-logam-mulia-logam-mulia-antam-lm-emas-antam-bersertifikat","5","5.0"
"19","100565252667","Samsung Galaxy A16 5G 8/256GB","Rp3.099.000","Rp3.799.000","Rp700.000","18","Handphone & Tablet/Handphone/Android OS","https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a16-5g-8-256gb-1731586854196053997","5","4.9"
"20","10906241692","Tile Reform - Pengisi Celah Nat Keramik / Nat Lantai / Dempul Lantai","Rp35.900","Rp99.000","Rp63.100","64","Pertukangan/Material Bangunan/Semen","https://www.tokopedia.com/supermallori/tile-reform-pengisi-celah-nat-keramik-nat-lantai-dempul-lantai-white-280ml-feb52","5","4.9"
"21","100582897812","Anker Zolo GaN 20W 30W Wall Charger Adaptor Kabel for iPhone 16 15 14 13 Samsung Ice-Cooled PD USB Type C Lightning MFi Fast Charging","Rp117.000","Rp499.000","Rp382.000","77","Rumah Tangga/Travel/Universal Travel Adaptor","https://www.tokopedia.com/anker-indonesia/anker-zolo-gan-20w-30w-wall-charger-adaptor-kabel-for-iphone-16-15-14-13-samsung-ice-cooled-pd-usb-type-c-lightning-mfi-fast-charging-1731635223341205482","5","5.0"
"22","100280862178","Kahf Face Wash Oil and Acne Care 100 ml - Sabun Cuci Muka Pria untuk Membantu Lawan Jerawat dan Kontrol Minyak - Suitable for Daily Use","Rp53.000","null","None","0","Kecantikan/Perawatan Wajah/Cleanser Wajah","https://www.tokopedia.com/kahfofficial/kahf-face-wash-oil-and-acne-care-100-ml-sabun-cuci-muka-pria-untuk-membantu-lawan-jerawat-dan-kontrol-minyak-suitable-for-daily-use-1729386649889768696","5","4.9"
"23","11967282532","PS5 Console Slim Model / PS5 Slim Console Disc & Digital Version","Rp7.399.000","Rp7.799.000","Rp400.000","5","Gaming/Game Console/PlayStation","https://www.tokopedia.com/liberty-game-store/ps5-console-slim-model-ps5-slim-console-disc-digital-version-ps5-slim-digtal-cf5c1","5","5.0"
"24","12177172110","Homedoki Kursi Kantor Hidrolik/Kursi Gaming/Kursi Putar/Kursi Jaring","Rp375.000","Rp700.000","Rp325.000","46","Rumah Tangga/Furniture/Kursi Kantor","https://www.tokopedia.com/homedoki/homedoki-kursi-kantor-hidrolik-kursi-gaming-kursi-putar-kursi-jaring-type4max-hitam-afe4c","5","4.8"
"25","100071487136","BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD | Kamera CCTV","Rp557.000","Rp911.000","Rp354.000","39","Audio, Kamera & Elektronik Lainnya/Kamera Pengintai/IP Camera","https://www.tokopedia.com/bardi-official-store/bardi-smart-indoor-ptz-ip-camera-cctv-wifi-iot-home-automation-micro-sd-kamera-cctv-1729650296299030588","5","4.9"
"26","610617555","HMNS Perfume - Orgasm 100ml","Rp323.000","null","None","0","Perawatan Tubuh/Parfum, Cologne, & Fragrance/Parfum & Cologne Unisex","https://www.tokopedia.com/hmnsperfume/hmns-perfume-orgasm-100ml-1731175403904205896","5","4.9"
"27","15009512801","Xiaomi Redmi Buds 6 Play | Bluetooth 5.4 | Baterai Hingga 36 Jam | Xiaomi Earbuds App Support | Nyaman Digunakan [Official Store]","Rp118.000","Rp129.000","Rp11.000","9","Audio, Kamera & Elektronik Lainnya/Audio/TWS","https://www.tokopedia.com/xiaomi/xiaomi-redmi-buds-6-play-bluetooth-5-4-baterai-hingga-36-jam-xiaomi-earbuds-app-support-nyaman-digunakan-official-store-white-8ec30","5","4.9"
"28","100102298153","POPOK ALL MERK PAKET 1 BALL (mamypoko,sweety,babyhappy,dll) Bayi Baru lahir Balita","Rp56.400","null","None","0","Ibu & Bayi/Popok/Popok Sekali Pakai","https://www.tokopedia.com/bhananakids-shop/popok-all-merk-paket-1-ball-mamypoko-sweety-babyhappy-dll-bayi-baru-lahir-balita-1729721868965743450","5","4.9"
"29","15960315717","Nintendo Switch OLED CFW 128GB 256GB 512GB Full Game","Rp4.849.000","null","None","0","Gaming/Game Console/Nintendo","https://www.tokopedia.com/butikgames/nintendo-switch-oled-cfw-128gb-256gb-512gb-full-game-1730699065287739308","5","5.0"
"30","16017887246","DELL LATITUDE 3420 INTEL CORE i3-1115G4 8GB RAM 512GB SSD INTEL UHD 14"" W11","Rp8.000.000","null","None","0","Komputer & Laptop/Laptop/Notebook","https://www.tokopedia.com/alphadatanetworkindo/dell-latitude-3420-intel-core-i3-1115g4-8gb-ram-512gb-ssd-intel-uhd-14-w11-1730762366840702076","5","5.0"
"31","16511120093","Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB","Rp13.729.000","Rp16.999.000","Rp3.270.000","19","Handphone & Tablet/Handphone/iOS","https://www.tokopedia.com/ismile-indonesia/apple-iphone-16-garansi-resmi-128gb-256gb-512gb-1731076606077207597","5","4.9"
"32","6705715263","Flyman Celana Dalam Pria Boxer 1 pcs FM 3385","Rp45.400","Rp64.900","Rp19.500","30","Fashion Pria/Pakaian Dalam Pria/Boxer Pria","https://www.tokopedia.com/flymannathalie/flyman-celana-dalam-pria-boxer-1-pcs-fm-3385-m-abu-abu-c31eb","5","4.9"
"33","15271281479","Xiaomi Redmi Watch 5 Active | 2.0"" LCD Display | Mendukung 140+ mode olahraga | Tahan air 5ATM | Baterai tahan hingga 18 hari | Jam tangan pintar [Official Store]","Rp429.000","Rp449.000","Rp20.000","4","Handphone & Tablet/Wearable Devices/Smart Watch","https://www.tokopedia.com/xiaomi/xiaomi-redmi-watch-5-active-2-0-lcd-display-mendukung-140-mode-olahraga-tahan-air-5atm-baterai-tahan-hingga-18-hari-jam-tangan-pintar-official-store-midnight-black-cfde6","5","5.0"
"34","2091095241","Masker Media Premium Genio | Masker 3 ply | Disposable Face Mask","Rp20.000","null","None","0","Kesehatan/Perlengkapan Medis/Disposable Consumable","https://www.tokopedia.com/jls-online/masker-media-premium-genio-masker-3-ply-disposable-face-mask-biru","5","5.0"
"35","2197562586","TOLEDA HEADPHONE EXTRA BASS WITH MIC 3.5MM JACK","Rp31.800","Rp159.000","Rp127.200","80","Audio, Kamera & Elektronik Lainnya/Audio/Headphone","https://www.tokopedia.com/toleda/toleda-headphone-extra-bass-with-mic-3-5mm-jack-1729828574000415953","5","4.7"
"36","2069104862","Extra Bubble wrap untuk keamanan extra","Rp1.500","null","None","0","Perlengkapan Pesta/Bungkus Kemasan/Bubble Wrap","https://www.tokopedia.com/gudangremoteee7/extra-bubble-wrap-untuk-keamanan-extra","5","4.9"
"37","5296414303","Kabel Data USB Type C UGREEN For Samsung,Oppo,Vivo Fast Charging 3A","Rp27.500","null","None","0","Handphone & Tablet/Aksesoris Handphone/Kabel Data","https://www.tokopedia.com/ugreenofficialstore/kabel-data-usb-type-c-ugreen-for-samsung-oppo-vivo-fast-charging-3a-60114-tpe-25cm","5","4.9"
"38","100789301407","Samsung Galaxy S24 Ultra 5G 12/256GB [Smartphone]","Rp15.599.000","Rp21.999.000","Rp6.400.000","29","Handphone & Tablet/Handphone/Android OS","https://www.tokopedia.com/samsung-official-store/samsung-galaxy-s24-ultra-5g-12-256gb-smartphone-1731967778065450989","5","5.0"
"39","100273458749","POLYTRON FOX R Electric Sepeda Motor Listrik - OTR Jadetabek Banten","Rp14.630.000","Rp21.630.000","Rp7.000.000","32","Otomotif/Sepeda Motor Bekas/Motor Listrik Bekas","https://www.tokopedia.com/polytron-id/polytron-fox-r-electric-sepeda-motor-listrik-otr-jadetabek-banten-1731235739744896876","5","4.7"
"40","14996009129","AC AQUA AQA- 5AHR1 1/2 PK Harga Unit Only","Rp1.695.200","null","None","0","Elektronik/Alat Pendingin Ruangan/Air Conditioner","https://www.tokopedia.com/cooling-center/ac-aqua-aqa-5ahr1-1-2-pk-harga-unit-only-tt-unit-only-fd1dc","5","4.8"
"41","15505514663","""HATI YANG HAMPA""   kayu jati","Rp1.500.000","null","None","0","Buku/Buku Hobi/Buku Keterampilan","https://www.tokopedia.com/trisari/hati-yang-hampa-kayu-jati","5","5.0"
"42","102208857049","Nintendo Switch 2 Bonus Game Mario Kart World (FISIK) Singapore Set switch 2 Nintendo 2 Nintendo Switch2 Console Nintendo Switch 2 Nintendo 2 Switch 2 Switch2 NS2 NSW2  Layar 7.9"" 1080p & Dock 4K untuk Pengalaman Gaming Terbaik","Rp10.074.000","null","None","0","Gaming/Aksesoris Game Console/Joystick Game Console","https://www.tokopedia.com/psenterprise/nintendo-switch-2-bonus-game-mario-kart-world-fisik-singapore-set-switch-2-nintendo-2-nintendo-switch2-console-nintendo-switch-2-nintendo-2-switch-2-switch2-ns2-nsw2-layar-7-9-1080p-dock-4k-untuk-pengalaman-gaming-terbaik-1732406855960593702","5","5.0"
"43","100279648732","Kasur Lipat Lantai Trifold Premium TURU Wave Rebounded uk. 10x90x200","Rp969.030","Rp1.599.000","Rp629.970","39","Rumah Tangga/Furniture/Kasur","https://www.tokopedia.com/turubed/kasur-lipat-lantai-trifold-premium-turu-wave-rebounded-uk-10x90x200-1729425307319896939","5","5.0"
"44","102117593592","HUAWEI MatePad 11.5""S PaperMatte Edition/ HUAWEI MatePad 11.5-inci 2025 Tablet | GoPaint | PC Level WPS","Rp6.599.000","Rp8.299.000","Rp1.700.000","20","Handphone & Tablet/Tablet/HarmonyOS","https://www.tokopedia.com/huawei/huawei-matepad-11-5-s-papermatte-edition-huawei-matepad-11-5-inci-2025-tablet-gopaint-pc-level-wps-1732245950799710012","5","4.9"
"45","12456011883","ADVAN Workplus AMD Ryzen 5 6600H 14"" FHD IPS 16GB/1TB Laptop Notebook Free Windows 11 Upgradeable","Rp6.999.000","Rp7.799.000","Rp800.000","10","Komputer & Laptop/Laptop/Laptop 2 in 1","https://www.tokopedia.com/advanstore/advan-workplus-amd-ryzen-5-6600h-14-fhd-ips-16gb-512gb-laptop-notebook-free-windows-11-upgradeable-1729973728317769450","5","4.9"
"46","102111063842","CARDIOSURE Premium Susu Obat Herbal Jantung Kolestrol Asam Urat BPOM Halal 12 Sachet Menstabilkan Tekanan Darah & Mendetok Tubuh Herbal","Rp285.000","null","None","0","Makanan & Minuman/Susu & Olahan Susu/Susu Lansia","https://www.tokopedia.com/anugrah-herbal-storee/cardiosure-premium-susu-obat-herbal-jantung-kolestrol-asam-urat-bpom-halal-12-sachet-menstabilkan-tekanan-darah-mendetok-tubuh-herbal-1732234348847859301","5","5.0"
"47","9420224399","Monster XKT08 TWS True Wireless Stereo Music Call Gaming Low Latency Sound Earphone Bluetooth V5.3","Rp159.000","Rp759.000","Rp600.000","79","Audio, Kamera & Elektronik Lainnya/Audio/TWS","https://www.tokopedia.com/monsterofficialstore/monster-xkt08-tws-true-wireless-stereo-music-call-gaming-low-latency-sound-earphone-bluetooth-v5-3-1729572927719311720","5","4.9"
"48","100607217810","MAMYPOKO PANTS XTRA KERING NB-S44 S38 M32 L28 XL26 XXL24 STANDAR CELANA EXTRA KERING X-TRA KERING","Rp52.700","Rp60.000","Rp7.300","12","Ibu & Bayi/Popok/Popok Sekali Pakai","https://www.tokopedia.com/lumibebe/mamypoko-pants-xtra-kering-nb-s44-s38-m32-l28-xl26-xxl24-standar-celana-extra-kering-x-tra-kering-1731683400219788889","5","5.0"
"49","12114876550","[Best Offer] HUAWEI WATCH FIT Special Edition Smartwatch |Built-in GPS","Rp869.000","Rp1.299.000","Rp430.000","33","Handphone & Tablet/Wearable Devices/Smart Watch","https://www.tokopedia.com/huawei/best-offer-huawei-watch-fit-special-edition-smartwatch-built-in-gps-starry-black-47e2c","5","5.0"
"50","4535543378","Makanan Basah Kucing Life Cat Sachet Pouch Grosir Dus isi 24 PCS 85 GR","Rp131.083","null","None","0","Perawatan Hewan/Perawatan Kucing/Makanan Kucing","https://www.tokopedia.com/rcpetshop/makanan-basah-kucing-life-cat-sachet-pouch-grosir-dus-isi-24-pcs-85-gr-chicken-kitten","5","5.0"
"51","13172003162","APPLE iPhone 13 128GB 256GB 512GB A15 Bionic CPU 6C / GPU 4C Resmi IBOX / GDN / DIGIMAP","Rp8.119.000","Rp15.449.000","Rp7.330.000","47","Handphone & Tablet/Handphone/iOS","https://www.tokopedia.com/collinsofficial/apple-iphone-13-128gb-256gb-512gb-a15-bionic-cpu-6c-gpu-4c-resmi-ibox-gdn-digimap-1731203852408947911","5","5.0"
"52","100273223362","Gantungan HP Candy Strap Tali Slicon Lanyard","Rp2.000","null","None","0","Handphone & Tablet/Aksesoris Handphone/Gantungan Handphone","https://www.tokopedia.com/asiacaseid/gantungan-hp-candy-strap-tali-slicon-lanyard-1731233348370990612","5","4.8"
"53","519114294","Indomie Goreng Spesial - Mie Goreng Sprecial - Mie Instant","Rp3.990","Rp4.200","Rp210","5","Makanan & Minuman/Mie & Pasta/Mie Instan","https://www.tokopedia.com/sayuransegarjkt/indomie-goreng-spesial-mie-goreng-sprecial-mie-instant","5","5.0"
"54","100284518754","Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes","Rp318.800","null","None","0","Fashion Pria/Sepatu Pria/Sneakers Pria","https://www.tokopedia.com/sepatukanky/kanky-story-honjo-sepatu-sneakers-casual-sport-sekolah-pria-kanky-rubber-shoes-1729651557715446057","5","5.0"
"55","2129968199","eBuy Dumbell set 20KG Barbel set Dumbel Dumbell alat olahraga rumahan","Rp160.900","Rp299.900","Rp139.000","46","Olahraga/Gym & Fitness/Alat Angkat Beban","https://www.tokopedia.com/ebuy-indonesia/ebuy-dumbell-set-20kg-barbel-set-dumbel-dumbell-alat-olahraga-rumahan-20kg","5","4.9"
"56","100554242099","POCO X7 Pro 5G | Dimensity 8400-Ultra | 6000mAh 90W HyperCharge | CrystalRes 1.5K AMOLED [Official Store]","Rp4.799.000","Rp4.999.000","Rp200.000","4","Handphone & Tablet/Handphone/Android OS","https://www.tokopedia.com/xiaomi/poco-x7-pro-5g-dimensity-8400-ultra-6000mah-90w-hypercharge-crystalres-1-5k-amoled-official-store-1731560055098738201","5","5.0"
"57","15005146378","HUAWEI MatePad SE 11"" Tablet [4+128GB] | FHD+ Eye Comfort Display | 7700mAh | Metal Unibody","Rp1.999.000","Rp2.699.000","Rp700.000","26","Handphone & Tablet/Tablet/HarmonyOS","https://www.tokopedia.com/huawei/huawei-matepad-se-11-tablet-4-128gb-fhd-eye-comfort-display-7700mah-metal-unibody-grey-78825","5","4.9"
"58","14350273688","KM Paket Bundling Sunco Minyak Goreng Pouch 2 L Isi 2","Rp101.500","Rp103.867","Rp2.367","2","Makanan & Minuman/Bumbu & Bahan Masakan/Minyak","https://www.tokopedia.com/kedaimartstore/km-paket-bundling-sunco-minyak-goreng-pouch-2-l-isi-2","5","5.0"
"59","9228403189","Valve Steam Deck Steamdeck - 512GB - Handled Gaming Console","Rp11.999.000","null","None","0","Komputer & Laptop/Desktop & Mini PC/Mini PC","https://www.tokopedia.com/shopyzid/valve-steam-deck-steamdeck-512gb-handled-gaming-console-512-gb-2ee71","5","5.0"
"60","14876637842","Sajadah Travel Jumbo Ukuran 105x60 dengan Kantong Gratis - Cocok untuk Kado Muslim - Turki Umroh","Rp12.999","null","None","0","Fashion Muslim/Perlengkapan Ibadah/Sajadah","https://www.tokopedia.com/produk-murah/sajadah-travel-jumbo-ukuran-105x60-gratis-kantong-cocok-untuk-kado-9","5","5.0"
"61","15155933063","(NEW LAUNCH) Soundcore Anker R50i NC Earbuds Adaptive Noise Canceling Headset Earphone Bluetooth 5.4 TWS Low Latency for Game Long Battery 4 Mics IP54 -A3959","Rp289.000","Rp1.099.000","Rp810.000","74","Audio, Kamera & Elektronik Lainnya/Audio/TWS","https://www.tokopedia.com/anker-indonesia/new-launch-soundcore-anker-r50i-nc-earbuds-adaptive-noise-canceling-headset-earphone-bluetooth-5-4-tws-low-latency-for-game-long-battery-4-mics-ip54-a3959-black-d87e0","5","4.9"
"62","100269543005","My Baby Minyak Telon 8 jam, Longer Protection 12 jam 90ml / 150ml","Rp33.395","null","None","0","Ibu & Bayi/Perawatan Bayi/Minyak Telon","https://www.tokopedia.com/istanasusu/my-baby-minyak-telon-8-jam-longer-protection-12-jam-90ml-150ml-1729739645782492533","5","4.9"
